162.63,39.00,0
4.00,4.00,1
118.13,35.00,0
4.00,4.00,1
222.13,47.00,0
4.00,4.00,1
252.13,49.00,0
4.00,4.00,1
112.38,33.00,0
6.00,6.00,1
158.88,39.00,0
4.00,4.00,1
146.50,38.00,0
4.00,4.00,1
196.75,46.00,0
4.00,4.00,1
158.75,40.00,0
4.00,4.00,1
168.75,40.00,0
6.00,6.00,1
188.00,44.00,0
4.00,4.00,1
144.63,39.00,0
6.00,6.00,1
210.75,46.00,0
6.00,6.00,1
238.13,47.00,0
6.00,6.00,1
174.63,43.00,0
5.13,5.00,1
270.38,51.00,0
4.00,4.00,1
225.75,48.00,0
4.00,4.00,1
173.88,41.00,0
4.00,4.00,1
247.25,48.00,0
4.00,4.00,1
229.25,46.00,0
6.00,6.00,1
175.88,41.00,0
4.00,4.00,1
250.50,48.00,0
4.00,4.00,1
149.63,39.00,0
4.00,4.00,1
273.13,51.00,0
4.00,4.00,1
163.88,39.00,0
4.00,4.00,1
207.88,47.00,0
4.00,4.00,1
130.63,35.00,0
6.00,6.00,1
282.25,52.00,0
4.00,4.00,1
184.75,42.00,0
4.00,4.00,1
223.13,45.00,0
4.00,4.00,1
142.75,36.00,0
4.00,4.00,1
244.13,49.00,0
4.00,4.00,1
258.25,50.00,0
6.00,6.00,1
132.50,36.00,0
4.00,4.00,1
149.63,39.00,0
4.00,4.00,1
111.50,32.00,0
4.00,4.00,1
106.38,31.00,0
4.00,4.00,1
199.13,43.00,0
4.00,4.00,1
126.38,35.00,0
4.00,4.00,1
223.00,46.00,0
6.00,6.00,1
137.88,35.00,0
4.00,4.00,1
302.50,54.00,0
4.00,4.00,1
91.25,28.00,0
4.00,4.00,1
193.50,44.00,0
6.00,6.00,1
132.38,35.00,0
4.00,4.00,1
141.50,38.00,0
4.00,4.00,1
177.50,44.00,0
4.00,4.00,1
151.38,41.00,0
6.00,6.00,1
187.75,44.00,0
4.00,4.00,1
233.38,47.00,0
5.13,5.00,1
138.75,36.00,0
4.00,4.00,1
234.00,48.00,0
4.00,4.00,1
137.63,35.00,0
4.00,4.00,1
180.63,45.00,0
6.00,6.00,1
146.63,39.00,0
4.00,4.00,1
181.00,42.00,0
6.00,6.00,1
129.63,35.00,0
4.00,4.00,1
190.13,43.00,0
6.00,6.00,1
126.63,33.00,0
6.00,6.00,1
200.00,44.00,0
5.13,5.00,1
180.63,43.00,0
4.00,4.00,1
121.38,33.00,0
4.00,4.00,1
196.00,44.00,0
4.00,4.00,1
221.13,47.00,0
4.00,4.00,1
209.25,44.00,0
5.13,5.00,1
161.75,40.00,0
4.00,4.00,1
107.25,32.00,0
4.00,4.00,1
243.25,48.00,0
6.00,6.00,1
155.63,39.00,0
6.00,6.00,1
212.13,47.00,0
4.00,4.00,1
145.75,38.00,0
4.00,4.00,1
203.75,46.00,0
6.00,6.00,1
147.63,39.00,0
6.00,6.00,1
202.00,44.00,0
4.00,4.00,1
170.75,40.00,0
6.00,6.00,1
231.00,48.00,0
6.00,6.00,1
247.00,50.00,0
4.00,4.00,1
111.13,33.00,0
4.00,4.00,1
174.75,40.00,0
4.00,4.00,1
139.38,37.00,0
4.00,4.00,1
191.88,43.00,0
4.00,4.00,1
198.75,44.00,0
4.00,4.00,1
162.00,38.00,0
6.00,6.00,1
141.75,36.00,0
6.00,6.00,1
217.88,47.00,0
5.13,5.00,1
223.00,46.00,0
4.00,4.00,1
229.13,47.00,0
4.00,4.00,1
243.50,48.00,0
6.00,6.00,1
162.50,42.00,0
4.00,4.00,1
215.50,44.00,0
4.00,4.00,1
323.63,55.00,0
4.00,4.00,1
167.63,41.00,0
4.00,4.00,1
259.13,51.00,0
6.00,6.00,1
296.25,54.00,0
4.00,4.00,1
179.75,42.00,0
6.00,6.00,1
136.25,38.00,0
4.00,4.00,1
248.13,49.00,0
4.00,4.00,1
210.00,46.00,0
4.00,4.00,1
173.75,42.00,0
4.00,4.00,1
281.50,52.00,0
4.00,4.00,1
